empleado_num,cantidad_horas,justificacion,fecha_registro
V89890,3,Requerimiento del almacen,2024-06-18 13:41:34.322403
AV9029,1,AOG de ultimo momento,2025-01-07 17:30:52.464915
V83021,2,Mantenimiento,2024-10-18 10:58:50.626092
DR8901,2,AOG de ultimo momento,2024-03-22 09:30:39.933927
BE3019,2,Revision de inventario trimestral,2024-03-17 18:09:59.654916
CD0001,4,Revision de inventario trimestral,2026-04-30 12:06:17.357611
AV9029,4,Operacion de Emergencia,2025-02-23 15:06:32.742557
BE3019,4,Voluntariado,2025-06-04 10:39:03.135200
RH8901,2,Operacion de Emergencia,2024-10-08 12:14:12.370313
V83021,2,Voluntariado,2024-07-11 16:34:48.203613
CD0002,1,Mantenimiento,2025-07-10 08:06:04.668706
AV9029,3,Revision de inventario trimestral,2024-03-21 16:55:36.220667
V89890,5,AOG de ultimo momento,2024-12-24 12:42:25.184960
V83021,4,Mantenimiento,2024-01-21 16:38:05.955242
DR8901,4,Operacion de Emergencia,2024-12-21 18:23:30.695601
CD0002,1,Requerimiento de proyectos,2025-11-06 08:49:13.478168
AV9029,1,Operacion de Emergencia,2025-01-29 17:24:16.535499
RH8901,2,Capacitacion,2025-03-25 15:48:16.990118
V83021,3,Reunion de proyectos,2025-02-18 09:22:16.687443
AV9029,1,Voluntariado,2025-10-19 12:17:34.466037
DR8901,4,Operacion de Emergencia,2024-12-30 14:38:15.747452
AV9029,1,Voluntariado,2024-11-30 18:43:46.776964
CD0001,2,Requerimiento de proyectos,2024-06-03 13:32:25.504971
CD0001,3,Mantenimiento,2026-01-29 15:52:06.419778
V89890,3,Voluntariado,2025-04-05 15:42:31.864859
V56718,2,Revision de inventario trimestral,2025-03-17 09:26:17.502671
V09973,4,Capacitacion,2024-11-29 17:27:00.274098
V56718,4,Mantenimiento,2024-06-26 08:28:15.652085
CD0002,4,Requerimiento del almacen,2026-04-07 09:07:33.015050
V56718,2,Capacitacion,2026-03-27 12:45:04.448790
AV9029,2,Reunion de proyectos,2025-02-20 13:54:00.332665
V09973,3,Capacitacion,2025-11-15 17:27:32.175635
DR8901,3,Mantenimiento,2025-09-24 09:08:20.032409
V83021,4,Requerimiento de proyectos,2025-10-23 11:55:09.009222
DR8901,3,Voluntariado,2025-09-02 11:09:50.467663
V09973,3,Operacion de Emergencia,2025-05-15 13:01:58.480132
RH8901,2,Voluntariado,2024-03-01 13:21:52.129699
DR8901,5,Requerimiento de proyectos,2024-08-07 12:34:10.829446
V83021,4,Capacitacion,2025-08-09 16:58:53.134639
CD0002,1,Voluntariado,2024-02-21 18:08:36.939344
V83021,5,Reunion de proyectos,2025-05-07 16:34:57.709313
V09973,1,Voluntariado,2025-08-18 09:58:29.792738
BE3019,5,AOG de ultimo momento,2024-12-26 08:23:45.249821
CD0001,2,Mantenimiento,2024-01-26 17:46:42.570196
V83021,4,Operacion de Emergencia,2026-03-24 15:00:57.018800
DR8901,2,Requerimiento de proyectos,2024-09-06 11:03:41.170123
RH8901,1,Voluntariado,2025-10-12 16:40:39.584248
BE3019,1,Requerimiento del almacen,2024-07-28 15:05:25.474844
V56718,3,Operacion de Emergencia,2025-08-08 14:38:13.288406
V83021,3,Requerimiento del almacen,2024-01-16 17:28:20.096506
V09973,2,Voluntariado,2025-10-26 15:10:44.866827
BE3019,2,Requerimiento del almacen,2025-07-20 12:44:13.199664
V89890,2,Voluntariado,2025-01-25 10:52:56.496008
CD0001,2,AOG de ultimo momento,2024-03-27 10:56:39.910387
CD0002,1,Reunion de proyectos,2024-10-04 08:11:44.576776
RH8901,1,Mantenimiento,2024-01-22 08:18:34.213886
CD0002,1,Voluntariado,2025-04-17 14:22:39.775735
DR8901,2,Capacitacion,2025-03-31 14:49:08.807400
CD0001,5,Requerimiento del almacen,2025-07-26 09:34:56.675356
DR8901,2,Operacion de Emergencia,2026-02-21 12:14:22.136266
V09973,3,Revision de inventario trimestral,2024-04-29 11:45:00.813201
DR8901,2,Requerimiento de proyectos,2024-04-19 09:40:51.120999
CD0001,5,Reunion de proyectos,2024-06-19 08:00:55.790943
V83021,3,Mantenimiento,2026-04-16 09:32:01.888089
CD0001,5,Revision de inventario trimestral,2024-02-21 12:46:09.435864
V89890,3,Requerimiento del almacen,2024-07-21 15:24:49.123277
CD0001,1,Mantenimiento,2024-10-07 09:08:30.405970
CD0002,1,Mantenimiento,2025-11-28 18:09:00.270776
DR8901,1,Requerimiento del almacen,2024-06-15 08:03:11.706747
V89890,2,AOG de ultimo momento,2024-08-14 13:25:42.704422
CD0002,2,Mantenimiento,2025-03-28 15:16:55.566392
AV9029,2,Mantenimiento,2024-09-26 15:59:23.022186
CD0001,5,Requerimiento de proyectos,2026-04-25 14:07:29.140984
CD0001,2,Voluntariado,2025-12-29 12:01:49.975200
V89890,3,Reunion de proyectos,2026-01-09 09:15:30.532223
DR8901,2,Voluntariado,2024-12-25 13:05:20.751063
V09973,3,Mantenimiento,2024-10-25 13:07:56.500783
DR8901,2,AOG de ultimo momento,2026-02-05 12:45:40.894091
BE3019,3,Requerimiento del almacen,2025-08-01 18:59:19.405869
V56718,1,Mantenimiento,2026-02-21 12:37:32.483385
CD0001,4,Requerimiento del almacen,2025-12-10 09:03:57.079801
CD0001,4,Voluntariado,2024-01-08 13:52:14.477329
CD0001,1,Capacitacion,2026-04-08 08:08:46.247129
BE3019,1,Requerimiento del almacen,2025-12-16 14:07:07.434634
V09973,2,Operacion de Emergencia,2025-09-12 12:57:29.127624
V56718,4,Requerimiento de proyectos,2024-11-24 15:22:01.630782
AV9029,1,Operacion de Emergencia,2024-06-14 08:20:01.681002
DR8901,1,AOG de ultimo momento,2026-01-29 14:38:38.574190
V56718,1,Operacion de Emergencia,2024-03-12 16:09:51.461612
CD0001,2,Voluntariado,2026-02-22 12:46:35.985290
BE3019,2,AOG de ultimo momento,2024-02-16 12:51:48.628602
V56718,2,Revision de inventario trimestral,2025-09-27 15:46:25.138044
V89890,2,Reunion de proyectos,2025-11-23 17:34:52.701660
V89890,5,Requerimiento del almacen,2024-06-26 08:57:07.128894
CD0002,1,Reunion de proyectos,2024-07-31 18:10:15.711450
BE3019,2,Revision de inventario trimestral,2024-11-06 18:37:39.073936
CD0001,4,Voluntariado,2025-02-27 11:46:26.817848
V89890,1,Capacitacion,2025-03-13 13:18:38.981912
V09973,2,Requerimiento del almacen,2025-10-04 10:31:52.290794
CD0002,5,Requerimiento de proyectos,2026-01-19 14:41:32.873547
V56718,3,Mantenimiento,2024-04-13 09:26:05.008170
V09973,2,Revision de inventario trimestral,2025-04-13 09:21:00.234522
DR8901,2,Requerimiento de proyectos,2025-10-04 16:51:44.346895
CD0001,2,Voluntariado,2024-01-18 11:48:28.857414
CD0001,2,Voluntariado,2026-04-26 09:53:57.646382
V09973,2,Revision de inventario trimestral,2026-03-14 08:47:52.263406
CD0001,2,Revision de inventario trimestral,2026-01-15 17:15:45.337346
BE3019,4,Revision de inventario trimestral,2024-07-30 08:54:21.329232
V09973,4,Mantenimiento,2025-06-25 17:34:44.814225
CD0001,3,Reunion de proyectos,2025-03-30 08:56:42.109388
AV9029,1,Operacion de Emergencia,2025-05-07 12:15:34.532232
V09973,5,Capacitacion,2026-04-30 16:09:56.899339
V83021,1,Operacion de Emergencia,2024-05-10 15:36:00.622603
DR8901,4,Mantenimiento,2026-02-18 14:32:00.723434
CD0002,2,Reunion de proyectos,2024-10-21 09:11:09.032593
AV9029,1,Requerimiento del almacen,2024-07-11 15:34:32.801088
RH8901,5,Operacion de Emergencia,2026-02-26 14:57:13.150759
BE3019,1,Operacion de Emergencia,2024-05-01 10:12:52.613319
CD0002,5,Operacion de Emergencia,2025-05-25 12:35:27.652888
CD0001,1,AOG de ultimo momento,2026-01-07 13:02:52.884850
V09973,5,AOG de ultimo momento,2025-09-01 15:43:58.425568
BE3019,1,Reunion de proyectos,2024-03-21 09:58:56.699483
DR8901,2,Revision de inventario trimestral,2025-05-19 09:23:45.347925
V56718,1,Mantenimiento,2025-08-14 10:34:00.965382
V89890,2,Capacitacion,2025-05-27 11:29:02.944563
CD0002,3,Requerimiento de proyectos,2026-01-15 09:50:07.339084
DR8901,5,Operacion de Emergencia,2024-11-30 12:22:11.275448
CD0002,2,Capacitacion,2024-07-11 15:22:58.318862
RH8901,1,Capacitacion,2025-02-02 17:17:23.861604
V83021,2,Operacion de Emergencia,2024-05-10 17:49:09.815945
V89890,4,AOG de ultimo momento,2024-06-25 10:28:21.665526
V89890,1,AOG de ultimo momento,2024-06-16 11:38:18.204776
V56718,1,Operacion de Emergencia,2025-10-04 14:54:52.569850
RH8901,5,Reunion de proyectos,2024-08-15 18:07:29.883225
CD0001,1,Revision de inventario trimestral,2025-02-15 09:29:00.010927
CD0002,5,Reunion de proyectos,2025-05-19 09:31:58.181746
RH8901,3,Revision de inventario trimestral,2024-01-01 11:09:25.142876
RH8901,3,Voluntariado,2025-03-03 10:08:16.154239
CD0001,3,Requerimiento del almacen,2025-10-15 15:34:36.746167
V89890,4,Reunion de proyectos,2025-06-02 15:30:19.996892
AV9029,5,Operacion de Emergencia,2024-12-09 15:28:25.751896
BE3019,4,Requerimiento del almacen,2025-06-18 15:36:20.573912
V56718,5,Voluntariado,2024-09-20 13:40:30.526348
RH8901,2,Revision de inventario trimestral,2025-05-08 08:48:17.387882
V09973,3,Operacion de Emergencia,2024-08-28 17:16:01.351718
RH8901,5,Reunion de proyectos,2024-05-24 13:35:26.028333
V89890,5,Mantenimiento,2025-10-06 15:30:11.996959
CD0001,2,Requerimiento de proyectos,2024-11-22 16:56:08.286784
V56718,2,Revision de inventario trimestral,2025-07-12 11:16:43.731704
DR8901,2,Mantenimiento,2026-03-18 17:30:16.866698
V56718,3,Mantenimiento,2025-02-26 12:23:15.650034
V83021,2,AOG de ultimo momento,2025-01-19 14:36:03.446800
DR8901,4,Mantenimiento,2025-05-01 12:03:18.759363
AV9029,3,Operacion de Emergencia,2025-09-08 13:45:56.568340
V83021,4,AOG de ultimo momento,2024-04-13 16:33:53.242461
V89890,4,Mantenimiento,2026-02-19 14:44:35.083453
RH8901,1,Voluntariado,2024-01-28 12:08:16.690285
V89890,4,Voluntariado,2024-05-14 11:53:25.965931
AV9029,1,Reunion de proyectos,2025-11-14 09:43:35.258842
RH8901,3,Mantenimiento,2025-11-24 10:48:00.328441
BE3019,2,Operacion de Emergencia,2025-11-30 18:11:49.942759
V83021,2,Revision de inventario trimestral,2025-04-05 11:04:15.345064
CD0001,2,Reunion de proyectos,2025-11-19 18:04:23.369469
CD0001,4,Revision de inventario trimestral,2024-03-31 14:25:33.448799
RH8901,3,AOG de ultimo momento,2025-10-19 17:21:52.510157
CD0001,4,Voluntariado,2024-08-31 12:45:00.059064
AV9029,2,Requerimiento del almacen,2024-09-22 14:39:14.606207
V89890,3,Operacion de Emergencia,2025-04-18 15:27:14.083084
RH8901,1,Requerimiento de proyectos,2025-02-06 12:27:04.296099
V56718,2,Revision de inventario trimestral,2025-12-03 09:18:18.861145
DR8901,3,Mantenimiento,2024-03-07 14:44:46.257927
V56718,5,Requerimiento del almacen,2025-06-20 08:22:25.485718
V83021,5,Requerimiento de proyectos,2025-03-09 16:09:52.011037
V89890,1,Requerimiento del almacen,2025-09-08 17:14:51.613535
V89890,3,Mantenimiento,2025-05-30 16:21:18.850886
V56718,2,Revision de inventario trimestral,2024-09-20 08:02:34.163970
V83021,2,Revision de inventario trimestral,2024-09-10 14:23:06.204653
CD0001,3,Operacion de Emergencia,2025-03-23 18:06:58.916768
V83021,2,Revision de inventario trimestral,2024-06-13 14:55:05.040560
DR8901,2,Mantenimiento,2025-10-22 18:29:21.300344
V09973,1,Capacitacion,2025-03-26 17:18:50.041120
V09973,3,Requerimiento de proyectos,2026-02-21 11:16:04.902725
CD0001,1,Capacitacion,2026-03-24 08:22:17.648016
V83021,4,AOG de ultimo momento,2025-06-20 10:50:02.469433
CD0002,5,Requerimiento del almacen,2024-10-08 10:38:10.813724
CD0002,2,Reunion de proyectos,2026-02-22 17:43:23.946524
V09973,1,Capacitacion,2025-03-07 18:19:25.771498
V83021,2,AOG de ultimo momento,2024-03-13 13:29:07.006280
V89890,1,AOG de ultimo momento,2024-02-28 12:19:10.190880
AV9029,2,Revision de inventario trimestral,2026-04-02 16:47:16.658241
BE3019,3,Capacitacion,2025-06-02 15:31:28.706985
DR8901,4,Capacitacion,2024-08-22 14:51:33.797184
BE3019,3,AOG de ultimo momento,2024-07-05 18:46:19.866503
RH8901,5,Capacitacion,2025-03-22 17:23:54.496745
V83021,4,Revision de inventario trimestral,2026-02-05 18:18:24.249439
V83021,4,Operacion de Emergencia,2024-10-14 09:06:40.297544
V83021,4,Requerimiento del almacen,2025-08-31 17:33:04.413332
BE3019,1,Operacion de Emergencia,2024-05-08 09:06:23.953880
AV9029,3,Capacitacion,2024-08-09 13:35:55.904838
BE3019,2,Operacion de Emergencia,2025-04-02 10:00:44.148109
V09973,2,Voluntariado,2024-11-15 12:31:04.527283
V09973,5,Revision de inventario trimestral,2025-08-07 11:13:00.497882
BE3019,3,AOG de ultimo momento,2025-11-30 10:27:36.513355
AV9029,1,Reunion de proyectos,2025-12-06 09:27:47.932869
RH8901,5,Capacitacion,2024-06-21 08:47:52.258873
V09973,2,Voluntariado,2025-10-24 17:48:47.998454
RH8901,2,Capacitacion,2024-08-06 08:46:15.238660
DR8901,3,Requerimiento del almacen,2026-02-02 15:26:00.374240
DR8901,1,Operacion de Emergencia,2024-02-07 15:59:47.216402
RH8901,4,Revision de inventario trimestral,2024-03-31 18:07:19.391705
V89890,2,Requerimiento del almacen,2025-11-26 14:19:21.648763
CD0001,2,Mantenimiento,2025-12-08 09:37:43.211686
V89890,3,Capacitacion,2024-07-07 11:41:00.180394
RH8901,3,Revision de inventario trimestral,2024-10-27 08:32:01.594441
AV9029,2,Mantenimiento,2025-12-03 09:35:14.438936
BE3019,4,Requerimiento del almacen,2025-04-01 11:36:27.779817
V83021,2,Mantenimiento,2026-03-15 13:35:14.798476
V83021,2,Mantenimiento,2025-04-21 09:39:43.276596
BE3019,3,Reunion de proyectos,2024-12-10 15:48:02.913594
V89890,2,Mantenimiento,2024-01-05 12:21:14.422496
DR8901,5,Requerimiento del almacen,2024-11-02 17:08:26.907121
V56718,1,Capacitacion,2026-02-24 13:31:41.988177
BE3019,4,Requerimiento del almacen,2024-03-20 16:04:05.761809
V83021,2,AOG de ultimo momento,2024-08-07 17:40:25.922316
V89890,4,Requerimiento del almacen,2025-12-16 18:11:08.057505
BE3019,1,Requerimiento de proyectos,2024-10-23 15:47:28.236997
CD0001,5,Mantenimiento,2024-10-24 16:40:52.722389
BE3019,1,Voluntariado,2024-05-30 16:52:13.957881
V83021,3,Requerimiento del almacen,2024-12-09 17:42:50.955642
DR8901,5,Revision de inventario trimestral,2025-03-15 09:36:44.443311
CD0001,4,Reunion de proyectos,2025-12-27 11:24:31.500341
BE3019,2,Requerimiento del almacen,2025-04-24 08:13:48.287814
BE3019,4,Requerimiento de proyectos,2024-06-04 18:58:27.335283
RH8901,4,Capacitacion,2025-04-23 13:17:13.662275
V56718,1,Mantenimiento,2026-04-17 14:53:17.649930
V09973,2,AOG de ultimo momento,2025-01-23 16:23:59.967804
AV9029,3,AOG de ultimo momento,2024-07-01 14:40:21.781139
V09973,2,Reunion de proyectos,2026-04-08 14:13:38.928224
AV9029,3,Voluntariado,2024-11-25 13:13:49.637199
V89890,2,Reunion de proyectos,2024-07-25 16:39:23.681973
DR8901,3,Reunion de proyectos,2024-11-26 15:16:46.717158
DR8901,1,Mantenimiento,2024-09-21 08:37:29.648364
V56718,2,Reunion de proyectos,2026-02-10 17:34:57.646429
DR8901,3,Requerimiento de proyectos,2024-08-05 12:30:12.554459
RH8901,5,Capacitacion,2024-10-09 10:43:12.447842
CD0002,1,Capacitacion,2026-02-27 18:03:18.279640
V89890,3,Mantenimiento,2024-03-07 17:10:22.996816
CD0001,2,Reunion de proyectos,2024-07-31 15:41:17.178920
RH8901,2,AOG de ultimo momento,2024-03-24 18:44:29.373888
V89890,3,Voluntariado,2025-09-16 14:22:00.125577
V09973,2,Revision de inventario trimestral,2024-09-03 18:45:02.891943
V56718,2,Revision de inventario trimestral,2024-07-26 16:59:08.259627
DR8901,2,Capacitacion,2025-05-28 18:14:03.387759
CD0001,3,Requerimiento de proyectos,2025-06-16 16:42:23.676659
CD0002,4,Mantenimiento,2026-02-19 11:00:26.940222
V83021,2,Requerimiento del almacen,2024-11-29 12:22:29.619020
CD0001,4,Operacion de Emergencia,2024-09-26 09:27:22.988661
CD0002,5,Voluntariado,2024-10-25 18:03:44.285668
BE3019,1,Revision de inventario trimestral,2026-03-06 09:25:51.378034
DR8901,4,Reunion de proyectos,2024-07-14 11:33:24.541751
V83021,2,AOG de ultimo momento,2024-09-19 10:33:07.753257
V56718,1,Requerimiento del almacen,2025-07-17 18:51:01.024134
V56718,2,Revision de inventario trimestral,2025-09-02 18:23:47.966172
V89890,1,Voluntariado,2025-06-21 17:04:36.110586
BE3019,5,Requerimiento del almacen,2026-04-14 17:11:38.299341
BE3019,2,Capacitacion,2025-10-26 09:12:10.303997
RH8901,5,Requerimiento del almacen,2026-01-23 12:05:47.367399
DR8901,2,Requerimiento de proyectos,2024-11-08 16:37:47.518892
V89890,3,Requerimiento del almacen,2026-04-28 16:26:55.243834
V89890,2,Voluntariado,2025-11-13 18:32:45.371443
DR8901,5,Mantenimiento,2025-11-22 10:25:01.220902
CD0001,3,Reunion de proyectos,2025-09-09 09:19:12.294098
V83021,3,Mantenimiento,2025-09-16 14:00:33.006595
V83021,3,Requerimiento de proyectos,2024-07-10 17:12:57.104184
DR8901,1,Voluntariado,2024-06-14 09:07:08.846464
BE3019,1,AOG de ultimo momento,2024-08-17 15:36:56.826516
CD0001,4,AOG de ultimo momento,2024-04-23 10:52:15.542523
CD0001,1,Reunion de proyectos,2025-02-25 14:34:22.632454
DR8901,2,Voluntariado,2026-03-21 18:03:40.586210
RH8901,3,Mantenimiento,2026-04-19 11:15:43.905108
RH8901,3,AOG de ultimo momento,2026-03-10 16:53:52.910173
DR8901,1,Voluntariado,2025-10-05 13:46:59.648354
V09973,2,Voluntariado,2025-01-13 16:21:45.468910
AV9029,5,Revision de inventario trimestral,2026-03-11 13:45:16.209803
V09973,5,Mantenimiento,2024-03-23 11:54:55.245242
V09973,1,Reunion de proyectos,2025-11-20 16:04:10.660922
DR8901,1,AOG de ultimo momento,2024-05-05 09:17:34.524468
CD0001,1,Capacitacion,2026-04-11 15:17:09.118172
BE3019,5,Requerimiento de proyectos,2026-01-08 16:13:30.095657
V56718,2,Requerimiento de proyectos,2026-01-30 17:50:29.077164
V09973,4,Mantenimiento,2024-10-22 14:31:39.002564
RH8901,2,Requerimiento del almacen,2025-10-07 17:01:01.285832
V83021,4,Operacion de Emergencia,2025-03-12 16:44:33.305350
BE3019,1,Capacitacion,2025-07-26 16:14:37.831982
AV9029,1,Requerimiento del almacen,2025-11-02 08:44:40.712265
CD0002,3,Operacion de Emergencia,2025-02-05 14:38:26.756849
V09973,4,Reunion de proyectos,2024-10-24 08:47:16.532954
RH8901,2,Operacion de Emergencia,2024-09-30 12:39:55.783926
CD0001,2,Voluntariado,2024-08-25 15:31:30.746808
V09973,3,Voluntariado,2026-01-08 10:12:14.000917
CD0001,4,Revision de inventario trimestral,2024-05-28 14:21:21.671296
DR8901,3,Operacion de Emergencia,2025-05-04 16:40:10.670851
V89890,2,Reunion de proyectos,2024-03-10 17:36:35.976795
CD0002,2,Requerimiento del almacen,2024-07-20 08:42:29.305546
V83021,1,Capacitacion,2024-05-25 14:15:56.976114
V89890,2,Requerimiento de proyectos,2025-06-10 14:49:44.152385
V83021,1,AOG de ultimo momento,2025-08-31 16:06:42.338078
V56718,4,Mantenimiento,2025-08-30 16:10:11.258525
AV9029,5,Reunion de proyectos,2024-05-07 14:09:43.232865
V09973,4,Reunion de proyectos,2025-07-23 10:47:52.224749
AV9029,3,Requerimiento del almacen,2024-06-26 10:50:37.311813
V89890,3,AOG de ultimo momento,2024-12-29 08:44:24.834710
AV9029,2,AOG de ultimo momento,2024-06-09 12:22:17.583181
V89890,3,Requerimiento del almacen,2024-02-26 09:54:21.349782
AV9029,1,Requerimiento de proyectos,2024-11-04 09:53:35.352100
V09973,2,Capacitacion,2024-02-16 13:32:25.452751
V09973,4,Revision de inventario trimestral,2025-01-21 13:02:44.227449
V83021,4,Capacitacion,2026-01-28 14:30:24.672861
V56718,3,Reunion de proyectos,2025-05-16 09:05:58.239045
AV9029,2,Requerimiento del almacen,2026-04-14 12:48:26.426294
V83021,1,Requerimiento del almacen,2025-04-19 14:38:19.844110
CD0002,3,Reunion de proyectos,2024-03-18 10:51:19.389516
DR8901,1,Operacion de Emergencia,2024-06-26 11:32:39.417423
V09973,5,Capacitacion,2025-02-20 17:55:28.356309
V09973,3,Requerimiento del almacen,2025-01-07 17:06:49.729149
V09973,2,Operacion de Emergencia,2024-06-10 12:46:54.962641
BE3019,5,Requerimiento del almacen,2024-02-06 10:04:06.722069
V89890,1,Revision de inventario trimestral,2025-01-09 08:01:24.262156
V83021,3,Operacion de Emergencia,2025-12-23 10:03:11.564480
RH8901,2,Mantenimiento,2025-02-20 13:35:39.586246
DR8901,5,Reunion de proyectos,2025-03-19 18:34:39.214901
RH8901,4,Revision de inventario trimestral,2026-02-12 12:15:22.827438
V56718,1,Requerimiento de proyectos,2025-12-20 12:16:37.386457
V56718,3,Capacitacion,2024-06-11 10:23:38.137939
DR8901,5,Revision de inventario trimestral,2025-10-09 08:51:52.738216
DR8901,2,Operacion de Emergencia,2025-10-06 11:19:53.630834
DR8901,2,Revision de inventario trimestral,2025-06-04 16:11:46.829755
CD0002,5,Operacion de Emergencia,2024-08-13 15:23:43.830092
BE3019,4,Requerimiento del almacen,2024-12-13 16:13:06.282184
CD0001,2,Requerimiento del almacen,2025-11-18 10:26:00.548257
AV9029,3,Capacitacion,2025-02-03 11:00:42.498399
RH8901,2,Requerimiento de proyectos,2025-06-05 17:26:53.059796
V56718,2,Operacion de Emergencia,2024-09-25 10:29:57.742109
V09973,2,Voluntariado,2024-04-15 18:27:29.868273
V83021,1,AOG de ultimo momento,2025-09-20 14:19:45.394068
AV9029,1,Capacitacion,2025-01-17 08:00:01.260989
BE3019,2,Voluntariado,2025-01-10 16:14:02.117938
V89890,3,Capacitacion,2024-03-12 18:40:55.009761
RH8901,2,Reunion de proyectos,2024-05-02 09:57:29.149338
CD0002,2,Revision de inventario trimestral,2024-08-12 17:20:12.002360
AV9029,1,Operacion de Emergencia,2026-04-07 17:55:26.367514
V83021,3,Voluntariado,2026-01-31 16:59:34.887922
V83021,3,Mantenimiento,2025-04-15 16:23:22.656665
V83021,5,AOG de ultimo momento,2026-01-28 09:30:20.104690
CD0001,5,Revision de inventario trimestral,2024-02-25 16:48:45.339294
V83021,4,Requerimiento de proyectos,2025-02-14 15:35:13.463644
V83021,2,Mantenimiento,2024-09-26 16:08:36.969842
CD0002,2,AOG de ultimo momento,2024-07-18 17:43:46.631444
CD0001,4,Capacitacion,2025-06-29 15:55:18.681578
BE3019,3,Requerimiento del almacen,2025-06-13 17:05:51.690007
CD0002,5,Mantenimiento,2026-02-27 14:42:13.266000
V56718,5,Voluntariado,2024-09-13 18:58:13.087728
V56718,2,Capacitacion,2025-04-01 15:30:46.160977
BE3019,3,Reunion de proyectos,2024-07-24 13:57:17.286980
CD0001,2,Requerimiento de proyectos,2025-03-08 08:34:06.825060
AV9029,2,Requerimiento de proyectos,2024-03-27 18:07:36.876576
V83021,3,Operacion de Emergencia,2024-07-20 14:47:56.461328
BE3019,3,AOG de ultimo momento,2024-07-12 15:57:50.672402
DR8901,5,Revision de inventario trimestral,2025-03-25 16:39:14.223941
RH8901,1,Reunion de proyectos,2024-11-23 14:44:58.185245
V83021,2,Requerimiento de proyectos,2025-12-10 17:50:40.874981
CD0002,1,AOG de ultimo momento,2025-06-04 08:12:57.167826
AV9029,2,AOG de ultimo momento,2025-05-18 15:23:15.960467
V83021,1,Requerimiento de proyectos,2025-07-01 17:23:59.058293
CD0002,2,AOG de ultimo momento,2024-12-23 12:23:59.267006
BE3019,3,Revision de inventario trimestral,2026-01-04 08:22:46.056133
V89890,3,AOG de ultimo momento,2025-04-24 13:30:33.986288
V09973,1,Reunion de proyectos,2025-05-11 17:28:13.542187
CD0001,3,Requerimiento de proyectos,2024-01-29 16:57:12.914021
BE3019,3,Mantenimiento,2024-05-11 13:54:05.053269
V89890,1,Revision de inventario trimestral,2025-09-18 15:43:36.654934
DR8901,3,Revision de inventario trimestral,2024-04-12 13:52:50.806285
V89890,2,Mantenimiento,2024-12-26 12:12:45.975614
V89890,2,Reunion de proyectos,2025-07-11 08:50:35.036392
DR8901,1,Reunion de proyectos,2025-11-09 16:07:33.300790
